126	3	0	3	1	3746	7
127	3	1	0	0	312	28
128	3	1	0	1	3774	11
129	3	1	1	0	5271	2
130	3	1	2	0	4836	1
131	3	1	3	0	4562	2
132	3	2	0	0	315	13
133	3	2	0	1	3685	6
134	3	2	1	0	6484	1
135	3	2	2	0	4840	2
136	3	2	3	0	5667	1
137	3	3	0	0	316	20
138	3	3	0	1	5038	6
139	3	3	1	0	5650	1
140	3	3	2	0	4207	1
141	3	3	3	0	4405	1
142	3	4	0	0	318	26
143	3	4	0	1	3614	10
144	3	4	1	0	4591	2
145	3	4	2	0	4527	3
146	3	4	3	0	5821	1
147	3	5	0	0	321	24
148	3	5	0	1	3965	12
149	3	5	1	0	4751	2
150	3	5	2	0	7058	1
151	3	5	3	0	6074	3
152	3	6	0	0	324	16
153	3	6	0	1	3621	11
154	3	6	1	0	4503	1
155	3	6	3	0	6047	1
156	4	0	0	0	12	43
157	4	0	0	1	13	75
158	4	0	1	0	441	13
159	4	0	1	1	3960	9
160	4	0	2	0	14	11
161	4	0	2	1	4089	5
162	4	0	3	0	446	11
163	4	0	3	1	4701	4
164	4	1	0	0	428	28
165	4	1	0	1	4525	7
166	4	1	1	0	4062	1
167	4	1	2	0	5476	1
168	4	2	0	0	431	2
169	4	3	0	0	432	10
170	4	3	0	1	4217	3
171	4	3	2	0	4537	2
172	4	3	3	0	7316	1
173	4	4	0	0	434	13
174	4	4	0	1	4013	7
175	4	4	3	0	4675	2
176	4	5	0	0	437	12
177	4	5	0	1	3906	3
178	4	5	1	0	4807	2
179	4	5	2	0	5295	1
180	4	6	0	0	57	8
181	4	6	0	1	4710	3
182	4	6	1	0	4803	2
183	4	6	2	0	7131	1
184	5	0	0	0	15	114
185	5	0	0	1	506	195
186	5	0	1	0	18	35
187	5	0	1	1	3749	18
188	5	0	2	0	501	32
189	5	0	2	1	3893	7
190	5	0	3	0	17	21
191	5	0	3	1	3701	11
192	5	1	0	0	485	41
193	5	1	0	1	3663	17
194	5	1	2	0	7367	1
195	5	1	3	0	6821	2
196	5	2	0	0	488	20
197	5	2	0	1	4313	8
198	5	2	1	0	4732	1
199	5	2	2	0	7519	1
200	5	2	3	0	3675	1
201	5	3	0	0	489	26
202	5	3	0	1	4017	11
203	5	3	3	0	6140	1
204	5	4	0	0	491	43
205	5	4	0	1	3672	14
206	5	4	1	0	7493	1
207	5	4	2	0	4063	3
208	5	4	3	0	4553	1
209	5	5	0	0	494	38
210	5	5	0	1	3623	23
211	5	5	1	0	5462	2
212	5	5	2	0	5332	2
213	5	5	3	0	5514	2
214	5	6	0	0	497	24
215	5	6	0	1	4471	4
216	5	6	1	0	6765	1
217	5	6	2	0	6117	1
218	6	0	0	0	19	93
219	6	0	0	1	20	209
220	6	0	1	0	673	39
221	6	0	1	1	3881	24
222	6	0	2	0	21	29
223	6	0	2	1	3646	23
224	6	0	3	0	678	17
225	6	0	3	1	5459	6
226	6	1	0	0	660	45
227	6	1	0	1	4221	16
228	6	1	1	0	6059	2
229	6	1	2	0	4730	3
230	6	2	0	0	663	16
231	6	2	0	1	4387	3
232	6	2	1	0	6696	1
233	6	2	3	0	4641	1
234	6	3	0	0	664	23
235	6	3	0	1	3724	9
236	6	3	2	0	5893	2
237	6	3	3	0	5116	2
238	6	4	0	0	666	36
239	6	4	0	1	3691	10
240	6	4	1	0	6134	2
241	6	4	2	0	4756	1
242	6	4	3	0	3740	3
243	6	5	0	0	54	29
244	6	5	0	1	3699	21
245	6	5	1	0	4557	2
246	6	5	2	0	3743	3
247	6	5	3	0	6095	1
248	6	6	0	0	671	18
249	6	6	0	1	3849	10
250	6	6	1	0	6453	1
251	6	6	2	0	6784	1
252	6	6	3	0	7200	1
253	7	0	0	0	23	43
254	7	0	0	1	24	124
255	7	0	1	0	849	20
256	7	0	1	1	4065	12
257	7	0	2	0	852	19
258	7	0	2	1	3927	5
259	7	0	3	0	855	12
260	7	0	3	1	3636	8
261	7	1	0	0	835	32
262	7	1	0	1	3955	11
263	7	1	1	0	5087	1
264	7	1	2	0	5396	2
265	7	1	3	0	5340	2
266	7	2	0	0	838	7
267	7	2	0	1	7562	1
268	7	2	3	0	5228	1
269	7	3	0	0	839	21
270	7	3	0	1	4018	8
271	7	3	1	0	4088	2
272	7	3	2	0	4469	1
273	7	3	3	0	4427	2
274	7	4	0	0	841	19
275	7	4	0	1	4463	11
276	7	4	2	0	7010	1
277	7	4	3	0	4007	2
278	7	5	0	0	844	21
279	7	5	0	1	3840	7
280	7	5	1	0	3874	2
281	7	5	3	0	5611	2
282	7	6	0	0	847	15
283	7	6	0	1	3637	10
284	7	6	1	0	5997	3
285	7	6	2	0	7359	2
286	8	0	0	0	27	33
287	8	0	0	1	29	123
288	8	0	1	0	967	20
289	8	0	1	1	3814	16
290	8	0	2	0	28	25
291	8	0	2	1	3773	18
292	8	0	3	0	972	11
293	8	0	3	1	4040	4
294	8	1	0	0	953	21
295	8	1	0	1	4115	7
296	8	1	1	0	4829	2
297	8	1	2	0	4354	3
